pair_id	dataset_id	original_query	query_keywords
1	1030	large spatio-temporal dataset containing latitude longitude time in csv format 	latitude longitude time
2	788	large spatio-temporal dataset containing latitude longitude time in csv format 	latitude longitude time
3	7137	large spatio-temporal dataset containing latitude longitude time in csv format 	latitude longitude time
4	564	large spatio-temporal dataset containing latitude longitude time in csv format 	latitude longitude time
5	7501	large spatio-temporal dataset containing latitude longitude time in csv format 	latitude longitude time
6	6363	large spatio-temporal dataset containing latitude longitude time in csv format 	latitude longitude time
7	8282	large spatio-temporal dataset containing latitude longitude time in csv format 	latitude longitude time
8	7656	large spatio-temporal dataset containing latitude longitude time in csv format 	latitude longitude time
9	848	large spatio-temporal dataset containing latitude longitude time in csv format 	latitude longitude time
10	4661	large spatio-temporal dataset containing latitude longitude time in csv format 	latitude longitude time
11	1030	spatio-temporal data with latitude/longitude and time variables in csv	latitude longitude time
12	788	spatio-temporal data with latitude/longitude and time variables in csv	latitude longitude time
13	7137	spatio-temporal data with latitude/longitude and time variables in csv	latitude longitude time
14	564	spatio-temporal data with latitude/longitude and time variables in csv	latitude longitude time
15	7501	spatio-temporal data with latitude/longitude and time variables in csv	latitude longitude time
16	6363	spatio-temporal data with latitude/longitude and time variables in csv	latitude longitude time
17	8282	spatio-temporal data with latitude/longitude and time variables in csv	latitude longitude time
18	7656	spatio-temporal data with latitude/longitude and time variables in csv	latitude longitude time
19	848	spatio-temporal data with latitude/longitude and time variables in csv	latitude longitude time
20	4661	spatio-temporal data with latitude/longitude and time variables in csv	latitude longitude time
21	2851	Datasets for latitude and longtitude data with big size and csv format and free	latitude longtitude
22	4158	Datasets for latitude and longtitude data with big size and csv format and free	latitude longtitude
23	1710	Datasets for latitude and longtitude data with big size and csv format and free	latitude longtitude
24	1586	Datasets for latitude and longtitude data with big size and csv format and free	latitude longtitude
25	4500	Datasets for latitude and longtitude data with big size and csv format and free	latitude longtitude
26	1030	Datasets for latitude and longtitude data with big size and csv format and free	latitude longtitude
27	769	Datasets for latitude and longtitude data with big size and csv format and free	latitude longtitude
28	5947	Datasets for latitude and longtitude data with big size and csv format and free	latitude longtitude
29	6142	Datasets for latitude and longtitude data with big size and csv format and free	latitude longtitude
30	8519	Datasets for latitude and longtitude data with big size and csv format and free	latitude longtitude
